district_id,area_sqmi,perimeter_mi,reock,polsby_popper,adj
OR-01,3429,343,0.477,0.366,OR-03|OR-04|OR-05|OR-06|WA-03
OR-02,72733,1429,0.472,0.448,CA-02|ID-01|NV-02|OR-03|OR-04|OR-05|WA-04|WA-05
OR-03,1424,216,0.385,0.384,OR-01|OR-02|OR-05|WA-03|WA-04
OR-04,11739,759,0.32,0.256,CA-02|OR-01|OR-02|OR-05|OR-06
OR-05,5618,542,0.419,0.241,OR-01|OR-02|OR-03|OR-04|OR-06
OR-06,1902,239,0.487,0.418,OR-01|OR-04|OR-05
PA-01,717,145,0.41,0.428,NJ-03|NJ-07|NJ-12|PA-02|PA-04|PA-07
PA-02,67,42,0.33,0.483,NJ-01|NJ-03|PA-01|PA-03|PA-04
PA-03,55,42,0.393,0.388,NJ-01|PA-02|PA-04|PA-05
PA-04,733,215,0.276,0.198,PA-01|PA-02|PA-03|PA-05|PA-06|PA-07|PA-09
PA-05,240,98,0.41,0.314,DE-01|NJ-01|NJ-02|PA-03|PA-04|PA-06
PA-06,935,186,0.45,0.339,DE-01|MD-01|PA-04|PA-05|PA-09|PA-11
PA-07,1183,183,0.574,0.442,NJ-07|PA-01|PA-04|PA-08|PA-09
PA-08,2837,343,0.469,0.303,NJ-05|NJ-07|NY-18|NY-19|PA-07|PA-09
PA-09,6145,512,0.402,0.294,NY-19|NY-23|PA-04|PA-06|PA-07|PA-08|PA-10|PA-11|PA-13|PA-15
PA-10,1293,230,0.479,0.307,PA-09|PA-11|PA-13
PA-11,1543,212,0.447,0.432,MD-01|MD-02|PA-06|PA-09|PA-10|PA-13
PA-12,433,148,0.632,0.247,PA-14|PA-17
PA-13,6396,444,0.569,0.407,MD-02|MD-06|PA-09|PA-10|PA-11|PA-14|PA-15
PA-14,4803,433,0.464,0.321,MD-06|PA-12|PA-13|PA-15|PA-16|PA-17|WV-02
PA-15,13065,612,0.569,0.439,NY-23|PA-09|PA-13|PA-14|PA-16
PA-16,3894,350,0.388,0.4,NY-23|OH-06|OH-14|PA-14|PA-15|PA-17
PA-17,908,191,0.514,0.314,OH-06|PA-12|PA-14|PA-16|WV-02
RI-01,287,222,0.187,0.073,MA-02|MA-04|MA-09|RI-02
RI-02,809,177,0.276,0.324,CT-02|MA-02|RI-01
SC-01,2952,557,0.252,0.12,SC-06|SC-07
SC-02,3202,444,0.448,0.204,GA-12|SC-03|SC-05|SC-06
SC-03,5847,423,0.504,0.41,GA-09|GA-10|GA-12|NC-11|SC-02|SC-04|SC-05
SC-04,1249,227,0.419,0.304,NC-11|NC-14|SC-03|SC-05
SC-05,5253,489,0.331,0.276,NC-08|NC-14|SC-02|SC-03|SC-04|SC-06|SC-07
SC-06,7109,949,0.35,0.099,GA-01|GA-12|SC-01|SC-02|SC-05|SC-07
SC-07,5506,444,0.363,0.351,NC-07|NC-08|SC-01|SC-05|SC-06
SD-01,76952,1284,0.494,0.587,IA-04|MN-01|MN-07|MT-02|ND-01|NE-03|WY-01
TN-01,4465,436,0.314,0.296,NC-05|NC-11|TN-02|VA-09
TN-02,2684,421,0.403,0.19,KY-05|NC-11|TN-01|TN-03|TN-06|VA-09
TN-03,3719,451,0.313,0.23,GA-09|GA-14|NC-11|TN-02|TN-04|TN-06
TN-04,4236,426,0.437,0.294,AL-05|GA-14|TN-03|TN-06|TN-07|TN-09
TN-05,6916,929,0.202,0.101,AR-01|KY-01|MO-08|MS-01|TN-07|TN-08|TN-09
TN-06,5740,503,0.296,0.285,KY-01|KY-05|TN-02|TN-03|TN-04|TN-07
TN-07,2970,358,0.328,0.29,KY-01|TN-04|TN-05|TN-06|TN-09
TN-08,5038,502,0.345,0.251,TN-05|TN-09
TN-09,6357,718,0.167,0.155,AL-04|AL-05|MS-01|TN-04|TN-05|TN-07|TN-08
TX-01,9647,651,0.411,0.286,AR-04|LA-04|TX-03|TX-04|TX-05|TX-10|TX-32|TX-36
TX-02,509,181,0.417,0.195,TX-08|TX-09|TX-10|TX-18|TX-29|TX-38
TX-03,3381,354,0.273,0.338,TX-01|TX-04|TX-32
TX-04,4691,661,0.222,0.135,AR-04|OK-02|OK-04|TX-01|TX-03|TX-26|TX-32
TX-05,3862,424,0.312,0.269,TX-01|TX-06|TX-10|TX-17|TX-24|TX-30|TX-32|TX-33
TX-06,2498,314,0.437,0.318,TX-05|TX-17|TX-24|TX-25|TX-30|TX-33
TX-07,125,114,0.182,0.122,TX-08|TX-18|TX-22|TX-29|TX-38
TX-08,1668,368,0.323,0.155,TX-02|TX-07|TX-10|TX-22|TX-27|TX-38
TX-09,1574,234,0.449,0.362,TX-02|TX-10|TX-18|TX-36
TX-10,8990,800,0.233,0.177,TX-01|TX-02|TX-05|TX-08|TX-09|TX-11|TX-17|TX-21|TX-27|TX-36|TX-37
TX-11,17999,1009,0.203,0.222,TX-10|TX-17|TX-19|TX-21|TX-23|TX-25|TX-31
TX-12,977,197,0.471,0.316,TX-24|TX-25|TX-26
TX-13,35249,1222,0.265,0.297,NM-03|OK-03|OK-04|TX-19|TX-25|TX-26
TX-14,1755,492,0.133,0.091,LA-03|LA-04|TX-18|TX-22|TX-36
TX-15,9262,943,0.173,0.131,TX-28|TX-34|TX-35
TX-16,363,120,0.328,0.318,NM-02|TX-23
TX-17,8260,614,0.446,0.275,TX-05|TX-06|TX-10|TX-11|TX-25|TX-31
TX-18,239,117,0.265,0.217,TX-02|TX-07|TX-09|TX-14|TX-22|TX-29|TX-36
TX-19,30275,844,0.498,0.534,NM-02|NM-03|TX-11|TX-13|TX-23|TX-25
TX-20,170,107,0.288,0.185,TX-21|TX-23|TX-35
TX-21,6200,490,0.444,0.325,TX-10|TX-11|TX-20|TX-23|TX-27|TX-35
TX-22,2026,341,0.46,0.219,TX-07|TX-08|TX-14|TX-18|TX-27
TX-23,55542,1710,0.267,0.239,NM-02|TX-11|TX-16|TX-19|TX-20|TX-21|TX-28|TX-35
TX-24,273,120,0.308,0.24,TX-05|TX-06|TX-12|TX-25|TX-26|TX-32|TX-33
TX-25,8988,625,0.441,0.289,TX-06|TX-11|TX-12|TX-13|TX-17|TX-19|TX-24|TX-26|TX-31
TX-26,2162,398,0.365,0.172,OK-04|TX-04|TX-12|TX-13|TX-24|TX-25|TX-32
TX-27,10392,1232,0.324,0.086,TX-08|TX-10|TX-21|TX-22|TX-35|TX-37
TX-28,15690,808,0.387,0.302,TX-15|TX-23|TX-35
TX-29,217,102,0.497,0.263,TX-02|TX-07|TX-18|TX-38
TX-30,345,107,0.326,0.382,TX-05|TX-06|TX-33
TX-31,5867,468,0.505,0.337,TX-11|TX-17|TX-25
TX-32,2268,352,0.164,0.23,TX-01|TX-03|TX-04|TX-05|TX-24|TX-26
TX-33,202,137,0.271,0.135,TX-05|TX-06|TX-24|TX-30
TX-34,4902,818,0.28,0.092,TX-15
TX-35,2877,318,0.476,0.357,TX-15|TX-20|TX-21|TX-23|TX-27|TX-28
TX-36,5698,699,0.279,0.146,LA-04|TX-01|TX-09|TX-10|TX-14|TX-18
TX-37,272,115,0.482,0.258,TX-10|TX-27
TX-38,313,129,0.354,0.234,TX-02|TX-07|TX-08|TX-29
UT-01,619,128,0.526,0.478,UT-02|UT-03|UT-04
UT-02,10258,536,0.457,0.449,ID-02|NV-02|UT-01|UT-03|UT-04|WY-01
UT-03,51877,1302,0.448,0.384,AZ-02|AZ-09|CO-03|NM-03|NV-04|UT-01|UT-02|UT-04|WY-01
UT-04,22066,685,0.55,0.591,NV-02|NV-04|UT-01|UT-02|UT-03
VA-01,3231,666,0.418,0.092,VA-03|VA-04|VA-05|VA-07
VA-02,2491,519,0.148,0.116,MD-01|NC-01|VA-03|VA-04
VA-03,273,156,0.243,0.141,VA-01|VA-02
VA-04,3497,366,0.533,0.329,NC-01|VA-01|VA-02|VA-05
VA-05,9605,534,0.494,0.423,NC-01|NC-05|NC-13|VA-01|VA-04|VA-06|VA-07|VA-09
VA-06,6301,591,0.231,0.226,VA-05|VA-07|VA-09|VA-10|WV-01|WV-02
VA-07,2773,383,0.405,0.238,MD-05|VA-01|VA-05|VA-06|VA-08|VA-10|VA-11
VA-08,154,74,0.327,0.35,MD-04|MD-05|MD-08|VA-07|VA-11
VA-09,10159,777,0.208,0.211,KY-05|NC-05|TN-01|TN-02|VA-05|VA-06|WV-01
VA-10,1704,258,0.493,0.322,MD-06|MD-08|VA-06|VA-07|VA-11|WV-02
VA-11,254,98,0.426,0.333,MD-08|VA-07|VA-08|VA-10
VT-01,9595,543,0.365,0.409,MA-01|MA-02|NH-02|NY-19|NY-20|NY-21
WA-01,348,148,0.242,0.198,WA-02|WA-07|WA-08|WA-09
WA-02,4502,976,0.405,0.059,WA-01|WA-04|WA-07|WA-08
WA-03,7434,543,0.462,0.317,OR-01|OR-03|WA-04|WA-06|WA-08|WA-10
WA-04,18139,980,0.341,0.237,OR-02|OR-03|WA-02|WA-03|WA-05|WA-08
WA-05,18930,688,0.465,0.502,ID-01|OR-02|WA-04
WA-06,7082,906,0.471,0.108,WA-03|WA-09|WA-10
WA-07,149,126,0.175,0.118,WA-01|WA-02|WA-09
WA-08,9968,642,0.542,0.304,WA-01|WA-02|WA-03|WA-04|WA-09|WA-10
WA-09,201,92,0.357,0.3,WA-01|WA-06|WA-07|WA-08|WA-10
WA-10,744,218,0.326,0.196,WA-03|WA-06|WA-08|WA-09
WI-01,1569,251,0.401,0.313,IL-10|IL-16|WI-02|WI-04|WI-05
WI-02,4360,355,0.575,0.434,IL-16|WI-01|WI-03|WI-05|WI-06
WI-03,11521,894,0.335,0.181,IA-02|IL-16|MN-01|MN-02|MN-04|WI-02|WI-06|WI-07|WI-08
WI-04,141,66,0.422,0.409,WI-01|WI-05|WI-06
WI-05,2215,254,0.598,0.433,WI-01|WI-02|WI-04|WI-06
WI-06,5343,497,0.403,0.272,WI-02|WI-03|WI-04|WI-05|WI-08
WI-07,24003,1212,0.537,0.205,MI-01|MN-02|MN-04|MN-08|WI-03|WI-08
WI-08,6840,707,0.423,0.172,MI-01|WI-03|WI-06|WI-07
WV-01,14440,807,0.468,0.279,KY-05|OH-02|VA-06|VA-09|WV-02
WV-02,9771,937,0.269,0.14,MD-06|OH-02|OH-06|OH-12|PA-14|PA-17|VA-06|VA-10|WV-01
WY-01,97636,1260,0.616,0.773,CO-02|CO-03|CO-04|ID-02|MT-01|MT-02|NE-03|SD-01|UT-02|UT-03
