state-district,state,district,pop,income,medianHome,whiteNH,black,asian,hispanic,bach,master
TX-15,TX,15,786232,58505,152082,116097,10952,7202,643414,62410,21637
TX-16,TX,16,771906,59654,180918,89047,23942,9616,632713,87886,32730
TX-17,TX,17,789566,74883,234585,427291,79567,45251,200768,114072,49928
TX-18,TX,18,779810,68062,257413,101205,321236,48356,284640,94949,42040
TX-19,TX,19,774192,65882,143220,388994,44387,12230,302919,78020,30908
TX-20,TX,20,774745,55204,215929,124065,70679,20927,536619,69217,29266
TX-21,TX,21,816971,90467,404533,439422,28518,22238,290943,151733,67578
TX-22,TX,22,843866,104144,314853,331727,97373,126303,251016,154320,70774
TX-23,TX,23,782465,66237,182406,230108,31363,21677,473778,106076,48421
TX-24,TX,24,765209,138311,619784,449499,59853,74242,142753,170961,77402
TX-25,TX,25,815985,72316,225666,372145,147251,24793,240038,98009,39323
TX-26,TX,26,823891,118175,404868,449557,83265,79892,169754,171864,70592
TX-27,TX,27,817700,76330,254505,353608,51732,14374,369220,101985,36621
TX-28,TX,28,773188,51751,134964,56988,4416,5307,700270,61432,20508
TX-29,TX,29,790732,64501,225777,87973,188860,25281,465762,62296,22172
TX-30,TX,30,782789,72020,253417,109101,328295,30877,288754,79882,33738
TX-31,TX,31,836096,86214,309865,436076,109768,38073,198789,122617,51827
TX-32,TX,32,791806,89759,319033,379158,108635,70003,201012,133582,56955
TX-33,TX,33,763131,77894,355464,164974,119125,45439,415317,101159,45165
TX-34,TX,34,772336,61092,161827,140308,12553,11603,595852,76650,28008
TX-35,TX,35,798697,74633,230848,244346,55104,13511,458828,87060,33797
TX-36,TX,36,772263,72139,193348,344540,127969,54392,215480,93668,37228
TX-37,TX,37,775481,97336,583631,339975,62120,50245,286283,191302,81717
TX-38,TX,38,798681,122710,500062,372161,80402,86213,222458,166452,73280
UT-01,UT,01,824594,98680,529312,504739,16659,36973,206608,124272,51924
UT-02,UT,02,843919,102323,467089,663759,8421,13825,118081,118590,46167
UT-03,UT,03,853031,84669,442800,671269,4825,10163,115284,124063,44453
UT-04,UT,04,870787,102122,467670,695295,6344,20100,99647,139655,53885
VA-01,VA,01,806552,99797,387178,566319,101741,47345,46590,156398,82453
VA-02,VA,02,791322,90076,360146,463616,174885,41136,62655,130804,61520
VA-03,VA,03,772326,69349,271570,300561,329782,22636,68424,93547,45593
VA-04,VA,04,794977,73305,278603,329350,325666,16695,83208,113298,52672
VA-05,VA,05,795891,71989,260471,547212,158171,16019,36528,108133,57128
VA-06,VA,06,791700,72319,273995,614627,63020,13606,67885,95006,45407
VA-07,VA,07,807651,109445,418578,404016,159897,41808,144246,121067,65253
VA-08,VA,08,777781,163820,885408,383685,98414,90661,157041,171956,135935
VA-09,VA,09,781380,56320,171005,677434,43514,12428,25522,80259,37951
VA-10,VA,10,804168,167484,698114,416001,68720,123914,151459,168661,101322
VA-11,VA,11,781422,176539,779771,376956,65713,173615,115531,182773,138137
VT-01,VT,01,647106,81203,316600,582031,7118,11520,16545,117628,62461
WA-01,WA,01,773563,147574,956766,450562,19980,164568,76566,169622,96522
WA-02,WA,02,785879,91771,605920,540397,20660,56745,100623,130405,55611
WA-03,WA,03,787367,87946,454794,589798,12957,29156,92456,101958,43741
WA-04,WA,04,779212,75827,333006,391028,8608,12360,320465,75056,31765
WA-05,WA,05,790737,74483,355130,624785,13046,17892,71467,106751,45168
WA-06,WA,06,779525,85354,467752,564958,24426,31778,74491,124030,54127
WA-07,WA,07,780226,142497,974419,480995,38083,119101,74646,219720,119838
WA-08,WA,08,783628,123756,695886,526000,15254,88233,88176,140238,66929
WA-09,WA,09,776257,114549,780267,303631,93863,181599,118258,141957,63628
WA-10,WA,10,779723,95871,502048,463404,53770,58192,106466,107468,47044
WI-01,WI,01,731370,83811,277245,543617,42564,13499,96983,105486,38972
WI-02,WI,02,751092,92110,336665,592194,31071,36246,54681,150650,63544
WI-03,WI,03,738759,74591,228782,659439,8081,16825,26673,93903,34463
WI-04,WI,04,725238,68941,224318,292795,228235,35609,134078,99762,42708
WI-05,WI,05,744149,100605,357866,635900,11964,21964,47216,146123,54521
WI-06,WI,06,736881,80197,246542,634094,14248,19408,42445,100663,36158
WI-07,WI,07,744142,71872,228390,665904,4944,11760,21290,96564,32730
WI-08,WI,08,743242,77274,235679,622795,10744,18364,48565,108442,35507
WV-01,WV,01,877069,53150,126838,796138,28243,5171,12035,84386,39425
WV-02,WV,02,901304,63066,177597,798707,26690,8172,26140,98457,49350
WY-01,WY,01,582397,76176,309700,473791,4895,4565,62047,76056,33641
